,kWh
0,4.8621710437110615
1,4.8621710437110615
2,4.8621710437110615
3,4.8621710437110615
4,4.8621710437110615
5,4.8621710437110615
6,4.8621710437110615
7,4.8621710437110615
8,15.133171043711062
9,15.162171043711062
10,14.57667104371106
11,15.159171043711062
12,15.142671043711061
13,12.158837710377728
14,4.8621710437110615
15,4.8621710437110615
16,4.8621710437110615
17,4.8621710437110615
18,4.8621710437110615
19,4.8621710437110615
20,4.8621710437110615
21,4.8621710437110615
22,4.8621710437110615
23,4.8621710437110615
24,4.8621710437110615
25,4.8621710437110615
26,4.8621710437110615
27,4.8621710437110615
28,4.8621710437110615
29,4.8621710437110615
30,4.8621710437110615
31,4.8621710437110615
32,5.979473669937699
33,6.724342087422124
34,7.469210504906548
35,8.958947339875397
36,9.70381575735982
37,8.065105238894088
38,7.469210504906548
39,8.958947339875397
40,8.214078922390971
41,5.2346052524532745
42,4.8621710437110615
43,4.8621710437110615
44,4.8621710437110615
45,4.8621710437110615
46,4.8621710437110615
47,4.8621710437110615
48,4.8621710437110615
49,4.8621710437110615
50,4.8621710437110615
51,4.8621710437110615
52,4.8621710437110615
53,4.8621710437110615
54,4.8621710437110615
55,4.8621710437110615
56,5.979473669937699
57,6.724342087422124
58,7.469210504906548
59,8.958947339875397
60,9.70381575735982
61,8.065105238894088
62,7.469210504906548
63,8.958947339875397
64,8.214078922390971
65,5.2346052524532745
66,4.8621710437110615
67,4.8621710437110615
68,4.8621710437110615
69,4.8621710437110615
70,4.8621710437110615
71,4.8621710437110615
72,4.8621710437110615
73,4.8621710437110615
74,4.8621710437110615
75,4.8621710437110615
76,4.8621710437110615
77,4.8621710437110615
78,4.8621710437110615
79,4.8621710437110615
80,5.979473669937699
81,6.724342087422124
82,7.469210504906548
83,8.958947339875397
84,9.70381575735982
85,8.065105238894088
86,7.469210504906548
87,8.958947339875397
88,8.214078922390971
89,5.2346052524532745
90,4.8621710437110615
91,4.8621710437110615
92,4.8621710437110615
93,4.8621710437110615
94,4.8621710437110615
95,4.8621710437110615
96,4.8621710437110615
97,4.8621710437110615
98,4.8621710437110615
99,4.8621710437110615
