,kWh
0,3.3297446705863294
1,3.3297446705863294
2,3.3297446705863294
3,3.3297446705863294
4,3.3297446705863294
5,3.3297446705863294
6,3.3297446705863294
7,3.3297446705863294
8,13.600744670586325
9,13.62974467058633
10,13.044244670586329
11,13.626744670586332
12,13.61024467058633
13,10.626411337252996
14,3.3297446705863294
15,3.3297446705863294
16,3.3297446705863294
17,3.3297446705863294
18,13.064189115030775
19,13.596744670586327
20,13.67274467058633
21,13.573244670586325
22,4.85324467058633
23,3.3297446705863294
24,3.3297446705863294
25,13.640994670586329
26,8.471744670586329
27,3.3297446705863294
28,3.3297446705863294
29,3.3297446705863294
30,3.3297446705863294
31,3.3297446705863294
32,4.659489341172659
33,5.324361676465823
34,5.989234011758988
35,7.318978682345317
36,7.983851017638481
37,6.521131879993519
38,5.989234011758988
39,7.318978682345317
40,7.077106347052152
41,4.742617005879494
42,3.3297446705863294
43,3.3297446705863294
44,3.3297446705863294
45,6.13065376149542
46,3.3297446705863294
47,3.3297446705863294
48,11.517926488768149
49,14.406173242014903
50,14.416244670586334
51,14.436244670586332
52,14.47574467058633
53,7.770244670586329
54,3.3297446705863294
55,3.3297446705863294
56,4.659489341172659
57,5.324361676465823
58,5.989234011758988
59,7.318978682345317
60,15.295027488226715
61,12.28913187999352
62,5.989234011758988
63,24.893978682345317
64,24.229106347052152
65,21.569617005879493
66,13.540244670586329
67,13.47724467058633
68,13.542601813443476
69,10.459744670586328
70,3.3297446705863294
71,3.3297446705863294
72,3.3297446705863294
73,3.3297446705863294
74,3.3297446705863294
75,3.3297446705863294
76,3.3297446705863294
77,3.3297446705863294
78,3.3297446705863294
79,3.3297446705863294
80,5.354489341172659
81,15.695130907235054
82,15.071586952935458
83,16.58792605076637
84,17.326231970019432
85,16.30113187999352
86,11.583234011758988
87,7.318978682345317
88,6.654106347052152
89,3.994617005879494
90,3.3297446705863294
91,12.49807800391966
92,3.3330780039196624
93,5.51286967058633
94,5.52224467058633
95,5.51674467058633
96,5.52324467058633
97,5.5202446705863295
98,5.512744670586329
99,4.641244670586329
100,3.3297446705863294
101,3.3297446705863294
102,3.3297446705863294
103,3.3297446705863294
104,4.659489341172659
105,5.324361676465823
106,5.989234011758988
107,7.318978682345317
108,7.983851017638481
109,12.279703308564947
110,8.377734011758989
111,7.318978682345317
112,6.654106347052152
113,3.994617005879494
114,3.3297446705863294
115,3.3297446705863294
116,3.3297446705863294
117,3.3297446705863294
118,3.3297446705863294
119,3.3297446705863294
120,10.119744670586329
121,7.083744670586329
122,3.3297446705863294
123,4.526411337252996
124,3.3297446705863294
125,3.3297446705863294
126,3.3297446705863294
127,3.3297446705863294
128,4.659489341172659
129,15.834361676465821
130,16.346734011758986
131,16.38486103528649
132,17.78485101763848
133,16.801131879993516
134,7.016734011758988
135,7.318978682345317
136,6.654106347052152
137,3.994617005879494
138,3.3297446705863294
139,3.3297446705863294
140,3.3297446705863294
141,3.3297446705863294
142,3.3297446705863294
143,3.3297446705863294
144,3.3297446705863294
145,3.3297446705863294
146,3.3297446705863294
147,3.3297446705863294
148,3.3297446705863294
149,3.971244670586329
150,3.9961732420149003
151,12.727744670586329
152,13.723744670586328
153,13.657744670586329
154,13.66974467058633
155,13.649268480110136
156,7.92324467058633
157,3.3297446705863294
158,3.3297446705863294
159,3.3297446705863294
160,3.3297446705863294
161,3.3297446705863294
162,3.3297446705863294
163,3.3297446705863294
164,3.3297446705863294
165,4.285744670586329
166,3.4517446705863293
167,3.3297446705863294
168,3.3297446705863294
169,13.663744670586329
170,13.68874467058633
171,20.90474467058633
172,20.877017397859056
173,10.160458956300616
174,10.11174467058633
175,10.18974467058633
176,6.08374467058633
177,3.3297446705863294
178,13.119744670586329
179,6.9657446705863295
180,3.3297446705863294
181,3.3297446705863294
182,3.3297446705863294
183,3.3297446705863294
184,3.3297446705863294
185,3.3297446705863294
186,10.08224467058633
187,8.08974467058633
188,3.3297446705863294
189,3.3297446705863294
190,3.3297446705863294
191,3.3297446705863294
192,3.3297446705863294
193,3.3297446705863294
194,3.3297446705863294
195,3.3297446705863294
196,3.3297446705863294
197,5.52774467058633
198,3.753744670586329
199,3.3297446705863294
200,4.659489341172659
201,5.324361676465823
202,5.989234011758988
203,7.318978682345317
204,7.983851017638481
205,6.521131879993519
206,5.989234011758988
207,17.697312015678648
208,15.102856347052153
209,5.574617005879493
210,5.12724467058633
211,5.053554194395853
212,4.934744670586329
213,4.819744670586329
214,4.743428881112645
215,4.70024467058633
216,4.650744670586329
217,4.630244670586329
218,4.614506575348234
219,4.576244670586329
220,4.56174467058633
221,4.538165723217908
222,4.552744670586329
223,4.542244670586329
224,5.8756798173631335
225,6.541861676465823
226,7.240734011758988
227,8.595978682345317
228,9.311219438691113
229,7.9296318799935195
230,7.463970853864252
231,8.879887773254408
232,8.277606347052153
233,5.756722269037389
234,5.13524467058633
235,5.105458956300614
236,4.911744670586329
237,4.791323617954751
238,4.693428881112645
239,4.6649827658244245
240,4.627839908681568
241,4.596744670586329
242,4.587363718205378
243,4.566586775849487
244,4.5364113372529955
245,4.504360055201714
246,4.503078003919662
247,4.500270986375804
248,5.815679817363135
249,6.501730097518454
250,7.188734011758988
251,8.567550110916745
252,9.27285101763848
253,7.864631879993519
254,7.4102340117589875
255,8.85088344425008
256,8.253606347052152
257,5.784617005879494
258,5.141849933744224
259,5.128792289633948
260,4.91574467058633
261,4.81474467058633
262,4.738165723217908
263,4.657839908681567
264,4.607363718205377
265,4.58424467058633
266,4.597522448364107
267,7.42674467058633
268,14.18474467058633
269,14.282601813443474
270,5.519244670586329
271,3.3297446705863294
272,5.865852977536294
273,6.5022564133079275
274,7.16161496413994
275,8.491478682345317
276,9.15385101763848
277,7.686425997640578
278,7.165597648122624
279,8.496756460123095
280,7.830015437961243
281,4.992617005879494
282,3.3297446705863294
283,3.3297446705863294
284,3.3297446705863294
285,3.3297446705863294
286,3.3297446705863294
287,3.3297446705863294
288,3.4649827658244243
289,3.3297446705863294
290,3.9717446705863297
291,4.897839908681568
292,4.756586775849487
293,4.675244670586329
294,4.626244670586329
295,4.577244670586329
296,5.861489341172659
297,6.503885485989632
298,7.159760327548462
299,8.484241840240053
300,9.157535228164797
301,7.70563187999352
302,7.193234011758987
303,8.510031313924264
304,7.818868251814057
305,4.856195953247915
306,3.3297446705863294
307,3.3297446705863294
308,3.3297446705863294
309,3.3297446705863294
310,3.3297446705863294
311,3.3297446705863294
312,3.3297446705863294
313,3.753744670586329
314,5.020270986375803
315,4.894744670586329
316,4.7934288811126455
317,4.713554194395853
318,4.652744670586329
319,4.61924467058633
320,4.6002709863758025
321,4.569268480110138
322,4.526586775849487
323,4.521244670586329
324,4.5042446705863295
325,4.49553414427054
326,4.4951992160408745
327,4.4976394074284345
328,4.489268480110139
329,4.493244670586329
330,4.530244670586329
331,4.537113091638961
332,4.59069705153871
333,4.670270986375804
334,4.72974467058633
335,4.810220861062519
336,4.858792289633948
337,4.917839908681567
338,4.900797302165277
339,4.831744670586329
340,4.775458956300615
341,4.704744670586329
342,4.6692446705863295
343,4.639744670586329
344,4.581744670586329
345,4.546060460060014
346,4.51565376149542
347,4.504744670586329
348,4.4882446705863295
349,4.456966892808552
350,4.478165723217908
351,4.468316099157758
352,4.457113091638961
353,4.466887527729187
354,4.4907973021652765
355,4.522902565323172
356,4.578792289633948
357,4.623244670586329
358,4.698316099157758
359,4.758692039007381
360,4.815458956300615
361,4.85974467058633
362,4.846411337252996
363,4.79724467058633
364,4.738744670586329
365,4.660270986375803
366,4.61924467058633
367,4.5827446705863295
368,5.898489341172658
369,6.511361676465823
370,7.163734011758988
371,8.474478682345318
372,9.123396472183936
373,7.652308350581754
374,7.13161496413994
375,8.449931063297697
376,7.7896063470521515
377,5.140117005879493
378,14.513604319709138
379,7.48924467058633
380,3.3297446705863294
381,3.3297446705863294
382,3.3297446705863294
383,3.3297446705863294
384,3.3297446705863294
385,3.3297446705863294
386,3.3297446705863294
387,3.7622446705863295
388,4.641849933744224
389,4.542601813443472
390,4.516060460060014
391,4.4930780039196625
392,5.812346484029801
393,6.470677465939507
394,7.140734011758988
395,8.465169158535794
396,9.130351017638482
397,7.6555763244379635
398,7.139734011758987
399,8.468978682345316
400,7.801606347052152
401,4.694617005879493
402,3.3297446705863294
403,3.3297446705863294
404,3.3297446705863294
405,3.3297446705863294
406,3.3297446705863294
407,3.3297446705863294
408,3.3297446705863294
409,3.3297446705863294
410,4.2542446705863295
411,4.752125622967282
412,4.63974467058633
413,4.5659351467768055
414,4.517113091638961
415,4.488744670586329
416,5.803489341172659
417,6.465314057418204
418,7.1276550643905665
419,8.445478682345318
420,9.125517684305148
421,7.663512832374472
422,7.158234011758988
423,8.481478682345317
424,7.473153966099771
425,3.994617005879494
426,10.17786967058633
427,10.672471943313603
428,13.596060460060013
429,13.615458956300618
430,13.63224467058633
431,13.600744670586325
432,13.62974467058633
433,13.044244670586329
434,13.626744670586332
435,13.61024467058633
436,10.626411337252996
437,3.3297446705863294
438,3.3297446705863294
439,3.3297446705863294
440,4.659489341172659
441,15.058806120910269
442,16.256234011758984
443,17.661978682345318
444,18.227351017638476
445,8.04463187999352
446,5.989234011758988
447,7.318978682345317
448,16.96535634705215
449,9.136617005879494
450,3.3297446705863294
451,3.3297446705863294
452,3.3297446705863294
453,3.3297446705863294
454,3.3297446705863294
455,3.3297446705863294
456,3.3297446705863294
457,3.3297446705863294
