Local time - DST,P
2015-01-01 00:10:00+00:00,0.0
2015-01-01 01:10:00+00:00,0.0
2015-01-01 02:10:00+00:00,0.0
2015-01-01 03:10:00+00:00,0.0
2015-01-01 04:10:00+00:00,0.0
2015-01-01 05:10:00+00:00,0.0
2015-01-01 06:10:00+00:00,0.0
2015-01-01 07:10:00+00:00,0.0
2015-01-01 08:10:00+00:00,13.24
2015-01-01 09:10:00+00:00,188.83
2015-01-01 10:10:00+00:00,336.52
2015-01-01 11:10:00+00:00,438.09
2015-01-01 12:10:00+00:00,468.0
2015-01-01 13:10:00+00:00,450.68
2015-01-01 14:10:00+00:00,369.54
2015-01-01 15:10:00+00:00,228.15
2015-01-01 16:10:00+00:00,41.89
2015-01-01 17:10:00+00:00,0.0
2015-01-01 18:10:00+00:00,0.0
2015-01-01 19:10:00+00:00,0.0
2015-01-01 20:10:00+00:00,0.0
2015-01-01 21:10:00+00:00,0.0
2015-01-01 22:10:00+00:00,0.0
2015-01-01 23:10:00+00:00,0.0
2015-01-02 00:10:00+00:00,0.0
2015-01-02 01:10:00+00:00,0.0
2015-01-02 02:10:00+00:00,0.0
2015-01-02 03:10:00+00:00,0.0
2015-01-02 04:10:00+00:00,0.0
2015-01-02 05:10:00+00:00,0.0
2015-01-02 06:10:00+00:00,0.0
2015-01-02 07:10:00+00:00,0.0
2015-01-02 08:10:00+00:00,13.05
2015-01-02 09:10:00+00:00,189.59
2015-01-02 10:10:00+00:00,331.65
2015-01-02 11:10:00+00:00,430.25
2015-01-02 12:10:00+00:00,449.4
2015-01-02 13:10:00+00:00,434.23
2015-01-02 14:10:00+00:00,360.46
2015-01-02 15:10:00+00:00,221.06
2015-01-02 16:10:00+00:00,38.11
2015-01-02 17:10:00+00:00,0.0
2015-01-02 18:10:00+00:00,0.0
2015-01-02 19:10:00+00:00,0.0
2015-01-02 20:10:00+00:00,0.0
2015-01-02 21:10:00+00:00,0.0
2015-01-02 22:10:00+00:00,0.0
2015-01-02 23:10:00+00:00,0.0
2015-01-03 00:10:00+00:00,0.0
2015-01-03 01:10:00+00:00,0.0
2015-01-03 02:10:00+00:00,0.0
2015-01-03 03:10:00+00:00,0.0
2015-01-03 04:10:00+00:00,0.0
2015-01-03 05:10:00+00:00,0.0
2015-01-03 06:10:00+00:00,0.0
2015-01-03 07:10:00+00:00,0.0
2015-01-03 08:10:00+00:00,9.91
2015-01-03 09:10:00+00:00,168.39
2015-01-03 10:10:00+00:00,288.63
2015-01-03 11:10:00+00:00,363.22
2015-01-03 12:10:00+00:00,365.58
2015-01-03 13:10:00+00:00,330.46
2015-01-03 14:10:00+00:00,182.38
2015-01-03 15:10:00+00:00,138.2
2015-01-03 16:10:00+00:00,6.46
2015-01-03 17:10:00+00:00,0.0
2015-01-03 18:10:00+00:00,0.0
2015-01-03 19:10:00+00:00,0.0
2015-01-03 20:10:00+00:00,0.0
2015-01-03 21:10:00+00:00,0.0
2015-01-03 22:10:00+00:00,0.0
2015-01-03 23:10:00+00:00,0.0
2015-01-04 00:10:00+00:00,0.0
2015-01-04 01:10:00+00:00,0.0
2015-01-04 02:10:00+00:00,0.0
2015-01-04 03:10:00+00:00,0.0
2015-01-04 04:10:00+00:00,0.0
2015-01-04 05:10:00+00:00,0.0
2015-01-04 06:10:00+00:00,0.0
2015-01-04 07:10:00+00:00,0.0
2015-01-04 08:10:00+00:00,2.44
2015-01-04 09:10:00+00:00,60.99
2015-01-04 10:10:00+00:00,119.17
2015-01-04 11:10:00+00:00,120.56
2015-01-04 12:10:00+00:00,433.54
2015-01-04 13:10:00+00:00,433.86
2015-01-04 14:10:00+00:00,358.31
2015-01-04 15:10:00+00:00,226.74
2015-01-04 16:10:00+00:00,47.3
2015-01-04 17:10:00+00:00,0.0
2015-01-04 18:10:00+00:00,0.0
2015-01-04 19:10:00+00:00,0.0
2015-01-04 20:10:00+00:00,0.0
2015-01-04 21:10:00+00:00,0.0
2015-01-04 22:10:00+00:00,0.0
2015-01-04 23:10:00+00:00,0.0
2015-01-05 00:10:00+00:00,0.0
2015-01-05 01:10:00+00:00,0.0
2015-01-05 02:10:00+00:00,0.0
2015-01-05 03:10:00+00:00,0.0
2015-01-05 04:10:00+00:00,0.0
2015-01-05 05:10:00+00:00,0.0
2015-01-05 06:10:00+00:00,0.0
2015-01-05 07:10:00+00:00,0.0
2015-01-05 08:10:00+00:00,13.37
2015-01-05 09:10:00+00:00,187.49
2015-01-05 10:10:00+00:00,335.3
2015-01-05 11:10:00+00:00,430.68
2015-01-05 12:10:00+00:00,461.56
2015-01-05 13:10:00+00:00,440.32
2015-01-05 14:10:00+00:00,362.8
2015-01-05 15:10:00+00:00,233.69
2015-01-05 16:10:00+00:00,51.73
2015-01-05 17:10:00+00:00,0.0
2015-01-05 18:10:00+00:00,0.0
2015-01-05 19:10:00+00:00,0.0
2015-01-05 20:10:00+00:00,0.0
2015-01-05 21:10:00+00:00,0.0
2015-01-05 22:10:00+00:00,0.0
2015-01-05 23:10:00+00:00,0.0
2015-01-06 00:10:00+00:00,0.0
2015-01-06 01:10:00+00:00,0.0
2015-01-06 02:10:00+00:00,0.0
2015-01-06 03:10:00+00:00,0.0
2015-01-06 04:10:00+00:00,0.0
2015-01-06 05:10:00+00:00,0.0
2015-01-06 06:10:00+00:00,0.0
2015-01-06 07:10:00+00:00,0.0
2015-01-06 08:10:00+00:00,15.32
2015-01-06 09:10:00+00:00,184.11
2015-01-06 10:10:00+00:00,322.9
2015-01-06 11:10:00+00:00,420.96
2015-01-06 12:10:00+00:00,451.93
2015-01-06 13:10:00+00:00,241.77
2015-01-06 14:10:00+00:00,346.44
2015-01-06 15:10:00+00:00,223.65
2015-01-06 16:10:00+00:00,39.85
2015-01-06 17:10:00+00:00,0.0
2015-01-06 18:10:00+00:00,0.0
2015-01-06 19:10:00+00:00,0.0
2015-01-06 20:10:00+00:00,0.0
2015-01-06 21:10:00+00:00,0.0
2015-01-06 22:10:00+00:00,0.0
2015-01-06 23:10:00+00:00,0.0
2015-01-07 00:10:00+00:00,0.0
2015-01-07 01:10:00+00:00,0.0
2015-01-07 02:10:00+00:00,0.0
2015-01-07 03:10:00+00:00,0.0
2015-01-07 04:10:00+00:00,0.0
2015-01-07 05:10:00+00:00,0.0
2015-01-07 06:10:00+00:00,0.0
2015-01-07 07:10:00+00:00,0.0
2015-01-07 08:10:00+00:00,0.0
2015-01-07 09:10:00+00:00,110.43
2015-01-07 10:10:00+00:00,307.89
2015-01-07 11:10:00+00:00,404.36
2015-01-07 12:10:00+00:00,391.35
2015-01-07 13:10:00+00:00,157.1
2015-01-07 14:10:00+00:00,92.71
2015-01-07 15:10:00+00:00,63.68
2015-01-07 16:10:00+00:00,27.34
2015-01-07 17:10:00+00:00,0.0
2015-01-07 18:10:00+00:00,0.0
2015-01-07 19:10:00+00:00,0.0
2015-01-07 20:10:00+00:00,0.0
2015-01-07 21:10:00+00:00,0.0
2015-01-07 22:10:00+00:00,0.0
2015-01-07 23:10:00+00:00,0.0
2015-01-08 00:10:00+00:00,0.0
2015-01-08 01:10:00+00:00,0.0
2015-01-08 02:10:00+00:00,0.0
2015-01-08 03:10:00+00:00,0.0
2015-01-08 04:10:00+00:00,0.0
