Local time - DST,temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2014-01-01 00:00:00+00:00,0.43,86.38,0.0,0.0,0.0,217.16,1.16,346.0,96884.0
2014-01-01 01:00:00+00:00,0.27,85.29,0.0,0.0,0.0,217.16,1.15,280.0,95045.0
2014-01-01 02:00:00+00:00,0.11,84.2,0.0,0.0,0.0,217.15,1.15,298.0,95026.0
2014-01-01 03:00:00+00:00,-0.06,83.11,0.0,0.0,0.0,217.15,1.14,315.0,95007.0
2014-01-01 04:00:00+00:00,-0.22,82.02,0.0,0.0,0.0,217.14,1.14,319.0,94998.0
2014-01-01 05:00:00+00:00,-0.38,80.93,0.0,0.0,0.0,217.14,1.14,323.0,94989.0
2014-01-01 06:00:00+00:00,-0.54,79.84,0.0,0.0,0.0,217.13,1.13,327.0,94979.0
2014-01-01 07:00:00+00:00,-0.7,78.75,0.0,0.0,0.0,217.13,1.13,328.0,95007.0
2014-01-01 08:00:00+00:00,-0.86,77.66,0.0,0.0,0.0,217.12,1.12,328.0,95035.0
2014-01-01 09:00:00+00:00,1.78,73.8,121.0,705.5,22.0,221.45,0.74,329.0,95063.0
2014-01-01 10:00:00+00:00,4.3,66.99,228.0,742.85,47.0,225.68,0.79,277.0,95020.0
2014-01-01 11:00:00+00:00,6.82,60.17,311.0,859.02,44.0,229.92,0.83,225.0,94976.0
2014-01-01 12:00:00+00:00,9.34,53.36,335.0,818.42,59.0,234.15,0.87,173.0,94933.0
2014-01-01 13:00:00+00:00,8.12,59.22,322.0,865.77,44.0,234.55,1.09,175.0,94927.0
2014-01-01 14:00:00+00:00,6.9,65.09,193.0,299.78,114.0,234.95,1.31,177.0,94920.0
2014-01-01 15:00:00+00:00,5.68,70.95,88.0,100.94,71.0,235.35,1.53,179.0,94914.0
2014-01-01 16:00:00+00:00,4.89,74.11,9.0,0.0,9.0,233.25,1.76,185.0,94908.0
2014-01-01 17:00:00+00:00,4.1,77.26,0.0,0.0,0.0,231.15,1.99,190.0,94902.0
2014-01-01 18:00:00+00:00,3.31,80.42,0.0,0.0,0.0,229.05,2.22,196.0,94895.0
2014-01-01 19:00:00+00:00,3.09,80.4,0.0,0.0,0.0,227.82,2.38,195.0,94902.0
2014-01-01 20:00:00+00:00,2.87,80.37,0.0,0.0,0.0,226.58,2.53,195.0,94908.0
2014-01-01 21:00:00+00:00,2.65,80.35,0.0,0.0,0.0,225.35,2.69,194.0,94914.0
2014-01-01 22:00:00+00:00,3.0,78.24,0.0,0.0,0.0,227.1,2.51,191.0,94877.0
2014-01-01 23:00:00+00:00,3.36,76.12,0.0,0.0,0.0,228.85,2.33,189.0,94839.0
2014-01-02 00:00:00+00:00,3.71,74.01,0.0,0.0,0.0,230.6,2.15,186.0,94802.0
2014-01-02 01:00:00+00:00,3.34,75.11,0.0,0.0,0.0,241.17,2.4,190.0,94765.0
2014-01-02 02:00:00+00:00,2.98,76.21,0.0,0.0,0.0,251.73,2.66,193.0,94727.0
2014-01-02 03:00:00+00:00,2.61,77.31,0.0,0.0,0.0,262.3,2.91,197.0,94690.0
2014-01-02 04:00:00+00:00,2.66,77.26,0.0,0.0,0.0,264.85,2.84,199.0,94646.0
2014-01-02 05:00:00+00:00,2.72,77.21,0.0,0.0,0.0,267.4,2.77,201.0,94603.0
2014-01-02 06:00:00+00:00,2.77,77.16,0.0,0.0,0.0,269.95,2.7,203.0,94559.0
2014-01-02 07:00:00+00:00,3.74,76.99,0.0,0.0,0.0,275.3,2.39,203.0,94553.0
2014-01-02 08:00:00+00:00,4.71,76.82,0.0,0.0,0.0,280.65,2.07,203.0,94547.0
2014-01-02 09:00:00+00:00,5.68,76.65,56.0,28.42,52.0,286.0,1.75,204.0,94541.0
2014-01-02 10:00:00+00:00,6.16,77.97,43.0,0.0,43.0,292.1,1.86,206.0,94541.0
2014-01-02 11:00:00+00:00,6.64,79.29,61.0,0.0,61.0,298.2,1.96,208.0,94541.0
2014-01-02 12:00:00+00:00,7.13,80.61,128.0,5.91,126.0,304.3,2.07,210.0,94541.0
2014-01-02 13:00:00+00:00,7.22,81.77,80.0,0.0,80.0,307.67,1.91,211.0,94572.0
2014-01-02 14:00:00+00:00,7.31,82.94,43.0,0.0,43.0,311.03,1.75,212.0,94603.0
2014-01-02 15:00:00+00:00,7.41,84.1,51.0,0.0,51.0,314.4,1.59,213.0,94634.0
2014-01-02 16:00:00+00:00,6.97,85.84,11.0,0.0,11.0,314.52,1.59,222.0,94681.0
2014-01-02 17:00:00+00:00,6.53,87.57,0.0,0.0,0.0,314.63,1.59,230.0,94727.0
2014-01-02 18:00:00+00:00,6.09,89.31,0.0,0.0,0.0,314.75,1.59,239.0,94774.0
2014-01-02 19:00:00+00:00,5.33,90.21,0.0,0.0,0.0,314.0,1.49,254.0,94799.0
2014-01-02 20:00:00+00:00,4.56,91.1,0.0,0.0,0.0,313.25,1.39,270.0,94824.0
2014-01-02 21:00:00+00:00,3.8,92.0,0.0,0.0,0.0,312.5,1.3,286.0,94849.0
2014-01-02 22:00:00+00:00,3.63,92.1,0.0,0.0,0.0,306.78,1.29,291.0,94836.0
2014-01-02 23:00:00+00:00,3.46,92.21,0.0,0.0,0.0,301.07,1.29,295.0,94824.0
2014-01-03 00:00:00+00:00,3.29,92.31,0.0,0.0,0.0,295.35,1.28,300.0,94811.0
2014-01-03 01:00:00+00:00,3.26,92.48,0.0,0.0,0.0,297.6,1.38,297.0,94824.0
2014-01-03 02:00:00+00:00,3.24,92.64,0.0,0.0,0.0,299.85,1.49,294.0,94836.0
2014-01-03 03:00:00+00:00,3.21,92.81,0.0,0.0,0.0,302.1,1.59,291.0,94849.0
2014-01-03 04:00:00+00:00,3.21,92.78,0.0,0.0,0.0,297.35,1.72,280.0,94839.0
2014-01-03 05:00:00+00:00,3.22,92.74,0.0,0.0,0.0,292.6,1.85,269.0,94830.0
2014-01-03 06:00:00+00:00,3.22,92.71,0.0,0.0,0.0,287.85,1.99,259.0,94821.0
2014-01-03 07:00:00+00:00,4.44,89.73,0.0,0.0,0.0,289.05,2.01,254.0,94867.0
2014-01-03 08:00:00+00:00,5.66,86.76,0.0,0.0,0.0,290.25,2.03,250.0,94914.0
2014-01-03 09:00:00+00:00,6.88,83.78,85.0,198.25,57.0,291.45,2.06,246.0,94961.0
2014-01-03 10:00:00+00:00,8.15,79.73,196.0,424.15,92.0,294.95,2.0,234.0,94942.0
2014-01-03 11:00:00+00:00,9.41,75.68,242.0,345.03,134.0,298.45,1.95,222.0,94923.0
2014-01-03 12:00:00+00:00,10.68,71.63,162.0,35.28,150.0,301.95,1.9,209.0,94905.0
2014-01-03 13:00:00+00:00,10.43,70.29,309.0,724.03,74.0,301.97,1.93,214.0,94933.0
2014-01-03 14:00:00+00:00,10.18,68.95,169.0,168.22,124.0,301.98,1.96,218.0,94961.0
2014-01-03 15:00:00+00:00,9.94,67.61,144.0,584.51,43.0,302.0,1.99,223.0,94989.0
2014-01-03 16:00:00+00:00,9.22,71.34,14.0,0.0,14.0,296.02,1.94,245.0,95023.0
2014-01-03 17:00:00+00:00,8.5,75.08,0.0,0.0,0.0,290.03,1.89,267.0,95057.0
2014-01-03 18:00:00+00:00,7.78,78.81,0.0,0.0,0.0,284.05,1.85,290.0,95091.0
2014-01-03 19:00:00+00:00,7.15,81.26,0.0,0.0,0.0,281.43,1.82,295.0,95095.0
2014-01-03 20:00:00+00:00,6.51,83.7,0.0,0.0,0.0,278.82,1.78,300.0,95098.0
2014-01-03 21:00:00+00:00,5.88,86.15,0.0,0.0,0.0,276.2,1.75,304.0,95101.0
2014-01-03 22:00:00+00:00,6.02,86.0,0.0,0.0,0.0,277.4,1.56,308.0,95085.0
2014-01-03 23:00:00+00:00,6.16,85.85,0.0,0.0,0.0,278.6,1.37,312.0,95070.0
2014-01-04 00:00:00+00:00,6.3,85.7,0.0,0.0,0.0,279.8,1.19,315.0,95054.0
2014-01-04 01:00:00+00:00,6.03,88.02,0.0,0.0,0.0,285.58,1.19,306.0,95054.0
2014-01-04 02:00:00+00:00,5.75,90.33,0.0,0.0,0.0,291.37,1.2,296.0,95054.0
2014-01-04 03:00:00+00:00,5.48,92.65,0.0,0.0,0.0,297.15,1.2,286.0,95054.0
2014-01-04 04:00:00+00:00,5.4,93.18,0.0,0.0,0.0,300.55,1.48,227.0,94995.0
2014-01-04 05:00:00+00:00,5.31,93.7,0.0,0.0,0.0,303.95,1.76,167.0,94936.0
2014-01-04 06:00:00+00:00,5.23,94.23,0.0,0.0,0.0,307.35,2.04,108.0,94877.0
2014-01-04 07:00:00+00:00,5.92,92.43,0.0,0.0,0.0,312.48,2.01,119.0,94830.0
2014-01-04 08:00:00+00:00,6.62,90.63,0.0,0.0,0.0,317.62,1.98,130.0,94783.0
2014-01-04 09:00:00+00:00,7.31,88.83,46.0,7.05,45.0,322.75,1.94,141.0,94737.0
2014-01-04 10:00:00+00:00,8.27,86.6,55.0,0.0,55.0,323.83,2.08,141.0,94606.0
2014-01-04 11:00:00+00:00,9.23,84.37,60.0,0.0,60.0,324.92,2.22,140.0,94475.0
2014-01-04 12:00:00+00:00,10.19,82.14,64.0,0.0,64.0,326.0,2.36,140.0,94345.0
2014-01-04 13:00:00+00:00,9.95,81.32,49.0,0.0,49.0,324.1,2.41,145.0,94236.0
2014-01-04 14:00:00+00:00,9.72,80.51,73.0,0.0,73.0,322.2,2.46,150.0,94127.0
2014-01-04 15:00:00+00:00,9.49,79.69,45.0,0.0,45.0,320.3,2.51,154.0,94018.0
2014-01-04 16:00:00+00:00,9.33,81.81,4.0,0.0,4.0,322.88,2.23,158.0,93971.0
2014-01-04 17:00:00+00:00,9.17,83.92,0.0,0.0,0.0,325.47,1.96,162.0,93925.0
2014-01-04 18:00:00+00:00,9.02,86.04,0.0,0.0,0.0,328.05,1.68,165.0,93878.0
2014-01-04 19:00:00+00:00,8.88,86.04,0.0,0.0,0.0,330.68,1.4,169.0,93850.0
2014-01-04 20:00:00+00:00,8.73,86.04,0.0,0.0,0.0,333.32,1.12,173.0,93822.0
2014-01-04 21:00:00+00:00,8.59,86.04,0.0,0.0,0.0,335.95,0.84,177.0,93794.0
2014-01-04 22:00:00+00:00,8.66,87.14,0.0,0.0,0.0,333.1,1.29,171.0,93738.0
2014-01-04 23:00:00+00:00,8.72,88.23,0.0,0.0,0.0,330.25,1.73,166.0,93682.0
2014-01-05 00:00:00+00:00,8.79,89.33,0.0,0.0,0.0,327.4,2.18,160.0,93626.0
2014-01-05 01:00:00+00:00,8.56,89.63,0.0,0.0,0.0,326.52,1.98,160.0,93648.0
2014-01-05 02:00:00+00:00,8.33,89.92,0.0,0.0,0.0,325.63,1.78,160.0,93669.0
2014-01-05 03:00:00+00:00,8.1,90.22,0.0,0.0,0.0,324.75,1.59,160.0,93691.0
2014-01-05 04:00:00+00:00,7.84,92.15,0.0,0.0,0.0,325.63,1.13,150.0,93725.0
2014-01-05 05:00:00+00:00,7.59,94.08,0.0,0.0,0.0,326.52,0.67,140.0,93760.0
2014-01-05 06:00:00+00:00,7.33,96.01,0.0,0.0,0.0,327.4,0.21,130.0,93794.0
2014-01-05 07:00:00+00:00,7.55,97.21,0.0,0.0,0.0,331.13,0.66,106.0,93893.0
2014-01-05 08:00:00+00:00,7.77,98.42,0.0,0.0,0.0,334.87,1.11,81.0,93993.0
2014-01-05 09:00:00+00:00,7.99,99.62,49.0,7.01,48.0,338.6,1.56,56.0,94093.0
2014-01-05 10:00:00+00:00,8.02,99.35,46.0,0.0,46.0,339.78,1.47,40.0,94167.0
2014-01-05 11:00:00+00:00,8.05,99.08,54.0,0.0,54.0,340.97,1.38,24.0,94242.0
2014-01-05 12:00:00+00:00,8.08,98.81,109.0,0.0,109.0,342.15,1.3,8.0,94317.0
2014-01-05 13:00:00+00:00,8.07,97.17,72.0,0.0,72.0,340.55,1.27,6.0,94429.0
2014-01-05 14:00:00+00:00,8.06,95.54,41.0,0.0,41.0,338.95,1.25,4.0,94541.0
2014-01-05 15:00:00+00:00,8.05,93.9,40.0,0.0,40.0,337.35,1.23,2.0,94653.0
2014-01-05 16:00:00+00:00,7.63,94.69,14.0,0.0,14.0,335.73,1.05,2.0,94749.0
2014-01-05 17:00:00+00:00,7.22,95.49,0.0,0.0,0.0,334.12,0.87,2.0,94846.0
2014-01-05 18:00:00+00:00,6.81,96.28,0.0,0.0,0.0,332.5,0.69,2.0,94942.0
