,P
2015-01-01 00:00:00,0.0
2015-01-01 01:00:00,0.0
2015-01-01 02:00:00,0.0
2015-01-01 03:00:00,0.0
2015-01-01 04:00:00,0.0
2015-01-01 05:00:00,0.0
2015-01-01 06:00:00,0.0
2015-01-01 07:00:00,2.82
2015-01-01 08:00:00,44.49
2015-01-01 09:00:00,32.97
2015-01-01 10:00:00,50.7
2015-01-01 11:00:00,22.13
2015-01-01 12:00:00,227.8
2015-01-01 13:00:00,147.04
2015-01-01 14:00:00,6.82
2015-01-01 15:00:00,16.68
2015-01-01 16:00:00,0.0
2015-01-01 17:00:00,0.0
2015-01-01 18:00:00,0.0
2015-01-01 19:00:00,0.0
2015-01-01 20:00:00,0.0
2015-01-01 21:00:00,0.0
2015-01-01 22:00:00,0.0
2015-01-01 23:00:00,0.0
2015-01-02 00:00:00,0.0
2015-01-02 01:00:00,0.0
2015-01-02 02:00:00,0.0
2015-01-02 03:00:00,0.0
2015-01-02 04:00:00,0.0
2015-01-02 05:00:00,0.0
2015-01-02 06:00:00,0.0
2015-01-02 07:00:00,1.63
2015-01-02 08:00:00,57.62
2015-01-02 09:00:00,135.4
2015-01-02 10:00:00,249.87
2015-01-02 11:00:00,234.83
2015-01-02 12:00:00,282.5
2015-01-02 13:00:00,184.32
2015-01-02 14:00:00,118.28
2015-01-02 15:00:00,17.96
2015-01-02 16:00:00,0.0
2015-01-02 17:00:00,0.0
2015-01-02 18:00:00,0.0
2015-01-02 19:00:00,0.0
2015-01-02 20:00:00,0.0
2015-01-02 21:00:00,0.0
2015-01-02 22:00:00,0.0
2015-01-02 23:00:00,0.0
2015-01-03 00:00:00,0.0
2015-01-03 01:00:00,0.0
2015-01-03 02:00:00,0.0
2015-01-03 03:00:00,0.0
2015-01-03 04:00:00,0.0
2015-01-03 05:00:00,0.0
2015-01-03 06:00:00,0.0
2015-01-03 07:00:00,2.07
2015-01-03 08:00:00,68.08
2015-01-03 09:00:00,147.33
2015-01-03 10:00:00,284.74
2015-01-03 11:00:00,227.48
2015-01-03 12:00:00,298.2
2015-01-03 13:00:00,170.7
2015-01-03 14:00:00,139.94
2015-01-03 15:00:00,18.46
2015-01-03 16:00:00,0.0
2015-01-03 17:00:00,0.0
2015-01-03 18:00:00,0.0
2015-01-03 19:00:00,0.0
2015-01-03 20:00:00,0.0
2015-01-03 21:00:00,0.0
2015-01-03 22:00:00,0.0
2015-01-03 23:00:00,0.0
2015-01-04 00:00:00,0.0
2015-01-04 01:00:00,0.0
2015-01-04 02:00:00,0.0
2015-01-04 03:00:00,0.0
2015-01-04 04:00:00,0.0
2015-01-04 05:00:00,0.0
2015-01-04 06:00:00,0.0
2015-01-04 07:00:00,2.34
2015-01-04 08:00:00,70.24
2015-01-04 09:00:00,140.36
2015-01-04 10:00:00,285.84
2015-01-04 11:00:00,221.13
2015-01-04 12:00:00,323.91
2015-01-04 13:00:00,161.9
2015-01-04 14:00:00,145.98
2015-01-04 15:00:00,19.59
